detector,descriptor,detector_time,descriptor_time,num_matches,image_num
SIFT,BRIEF,125.017,0.973629,134,4
SIFT,BRIEF,123.886,1.02556,140,5
SIFT,BRIEF,126.119,1.00027,137,6
SIFT,BRIEF,126.232,1.0618,148,7
SIFT,BRIEF,121.07,1.08997,159,8
SIFT,BRIEF,129.704,1.06594,137,9
SIFT,FREAK,125.375,40.5557,132,1
SIFT,FREAK,124.684,40.378,124,2
SIFT,FREAK,126.988,41.1141,137,3
SIFT,FREAK,124.245,39.9224,134,4
SIFT,FREAK,128.808,40.7537,140,5
SIFT,FREAK,123.31,40.2456,137,6
SIFT,FREAK,124.09,39.8716,148,7
SIFT,FREAK,121.289,40.4809,159,8
SIFT,FREAK,126.935,39.4257,137,9
SIFT,AKAZE,120.313,52.6471,132,1
SIFT,AKAZE,122.049,54.327,124,2
SIFT,AKAZE,116.558,48.059,137,3
SIFT,AKAZE,124.852,56.717,134,4
SIFT,AKAZE,119.102,64.8898,140,5
SIFT,AKAZE,122.869,50.7911,137,6
SIFT,AKAZE,123.679,47.4173,148,7
SIFT,AKAZE,121.463,53.324,159,8
SIFT,AKAZE,125.056,66.0028,137,9
SIFT,SIFT,91.6767,73.5918,132,1
SIFT,SIFT,90.8484,76.5094,124,2
SIFT,SIFT,90.8395,74.7984,137,3
SIFT,SIFT,101.601,77.7472,134,4
SIFT,SIFT,95.6122,75.6383,140,5
SIFT,SIFT,98.3641,75.4433,137,6
SIFT,SIFT,91.7982,72.159,148,7
SIFT,SIFT,108.532,87.5553,159,8
SIFT,SIFT,107.685,75.5352,137,9
